ID,surveyID,ID2015,GroupID,RA,Dec,z,StellarMass,tag,CC
18845,-1,484745,-1,      149.96568,        2.03401,        0.31130,       11.10565,-1,       -1.00000
18846,-1,538059,-1,      149.96564,        2.11919,        0.77380,        9.81262,-1,       -1.00000
18847,-1,456270,-1,      149.96555,        1.98944,        0.35600,       10.04511,-1,       -1.00000
18848,-1,455200,-1,      149.96507,        1.98616,        0.63740,       10.78386,-1,       -1.00000
18849,-1,473937,-1,      149.96440,        2.01675,        0.16810,        9.25467,-1,       -1.00000
18850,-1,518399,-1,      149.96439,        2.08737,        0.67480,       10.04364,-1,       -1.00000
18851,-1,460105,-1,      149.96419,        1.99536,        0.92020,       11.42501,-1,       -1.00000
18852,-1,457344,-1,      149.96413,        1.99167,        0.41390,        9.47832,-1,       -1.00000
18853,-1,472984,-1,      149.96359,        2.01597,        0.37090,        9.88715,-1,       -1.00000
18854,-1,466339,-1,      149.96210,        2.00536,        0.91970,       10.89211,-1,       -1.00000
18855,-1,465957,-1,      149.96188,        2.00380,        0.38860,       10.84920,-1,       -1.00000
18856,-1,508139,-1,      149.96126,        2.07170,        0.39110,        8.98470,-1,       -1.00000
18857,-1,515179,-1,      149.96094,        2.08240,        0.35570,        9.03892,-1,       -1.00000
18858,-1,541853,-1,      149.96080,        2.12459,        0.16510,        8.45538,-1,       -1.00000
18859,-1,481165,-1,      149.96065,        2.03573,        0.56650,       11.25917,-1,       -1.00000
18860,-1,452322,-1,      149.96056,        1.98288,        0.31000,        9.92178,-1,       -1.00000
18861,-1,486400,-1,      149.95941,        2.03908,        0.12380,        9.82491,-1,       -1.00000
18862,-1,469643,-1,      149.95888,        2.01144,        0.93510,       10.34245,-1,       -1.00000
18863,-1,442457,-1,      149.95818,        1.96676,        0.56900,       10.71020,-1,       -1.00000
18864,-1,458133,-1,      149.95752,        1.99384,        0.12390,        7.85038,-1,       -1.00000
18865,-1,440893,-1,      149.95647,        1.96507,        0.61640,        9.74465,-1,       -1.00000
18866,-1,437736,-1,      149.95558,        1.96018,        0.94410,       10.19396,-1,       -1.00000
18867,-1,533797,-1,      149.95552,        2.11011,        0.68370,       11.32577,-1,       -1.00000
18868,-1,448115,-1,      149.95474,        1.97629,        0.10380,        7.89938,-1,       -1.00000
18869,-1,501301,-1,      149.95380,        2.06099,        0.18680,        8.35532,-1,       -1.00000
18870,-1,495782,-1,      149.95378,        2.05341,        0.95180,        9.85301,-1,       -1.00000
18871,-1,443925,-1,      149.95367,        1.96959,        0.63780,       10.29658,-1,       -1.00000
18872,-1,453254,-1,      149.95355,        1.98438,        0.18660,        8.94327,-1,       -1.00000
18873,-1,503048,-1,      149.95352,        2.06239,        0.16480,        9.28971,-1,       -1.00000
18874,-1,525466,-1,      149.95189,        2.09936,        0.12470,        8.18236,-1,       -1.00000
18875,-1,529103,-1,      149.95175,        2.10453,        0.68290,       10.21906,-1,       -1.00000
18876,-1,454136,-1,      149.95119,        1.98682,        0.93590,       10.40988,-1,       -1.00000
18877,-1,528936,-1,      149.95117,        2.10329,        0.68060,       10.89582,-1,       -1.00000
18878,-1,449512,-1,      149.95116,        1.97894,        0.34160,       10.90917,-1,       -1.00000
18879,-1,527243,-1,      149.95015,        2.10136,        0.68380,       10.74793,-1,       -1.00000
18880,-1,499786,-1,      149.94923,        2.05957,        0.16490,        8.28777,-1,       -1.00000
18881,-1,542345,-1,      149.94818,        2.12559,        0.71560,       10.02360,-1,       -1.00000
18882,-1,509442,-1,      149.94803,        2.07366,        0.60700,        9.56655,-1,       -1.00000
18883,-1,538354,-1,      149.94635,        2.11930,        0.68560,        9.90782,-1,       -1.00000
18884,-1,504121,-1,      149.94568,        2.06604,        0.67720,        9.61860,-1,       -1.00000
18885,-1,438454,-1,      149.94563,        1.96127,        0.96260,       10.92863,-1,       -1.00000
18886,-1,511953,-1,      149.94496,        2.07812,        0.88800,       10.63019,-1,       -1.00000
18887,-1,490404,-1,      149.94478,        2.04438,        0.93740,       10.59790,-1,       -1.00000
18888,-1,461260,-1,      149.94478,        1.99904,        0.48030,        9.00323,-1,       -1.00000
18889,-1,468031,-1,      149.94431,        2.00818,        0.78130,       10.44476,-1,       -1.00000
18890,-1,528982,-1,      149.94429,        2.10566,        0.63190,        9.75322,-1,       -1.00000
18891,-1,535325,-1,      149.94376,        2.11472,        0.89530,       10.67452,-1,       -1.00000
18892,-1,524738,-1,      149.94342,        2.09623,        0.35520,        9.52429,-1,       -1.00000
18893,-1,451325,-1,      149.94321,        1.98115,        0.66910,        9.92348,-1,       -1.00000
18894,-1,522825,-1,      149.94307,        2.09547,        0.23660,        8.47601,-1,       -1.00000
18895,-1,487277,-1,      149.94282,        2.04034,        0.20800,        8.79425,-1,       -1.00000
18896,-1,526798,-1,      149.94199,        2.09857,        0.68230,       11.32937,-1,       -1.00000
18897,-1,455696,-1,      149.94156,        1.98840,        0.26510,        8.74952,-1,       -1.00000
18898,-1,522742,-1,      149.94138,        2.09430,        0.63330,       10.46184,-1,       -1.00000
18899,-1,513258,-1,      149.94045,        2.07939,        0.31280,        9.65322,-1,       -1.00000
18900,-1,444297,-1,      149.93993,        1.97019,        0.63660,       10.50490,-1,       -1.00000
18901,-1,455321,-1,      149.93988,        1.98905,        0.92020,        9.90367,-1,       -1.00000
18902,-1,514541,-1,      149.93904,        2.08186,        0.37100,        9.00255,-1,       -1.00000
18903,-1,470651,-1,      149.93892,        2.01168,        0.38910,        9.77174,-1,       -1.00000
18904,-1,484701,-1,      149.93880,        2.03549,        0.93940,       10.99971,-1,       -1.00000
18905,-1,517465,-1,      149.93797,        2.08666,        0.88650,       10.00948,-1,       -1.00000
18906,-1,486434,-1,      149.93735,        2.03717,        0.34360,       10.26386,-1,       -1.00000
18907,-1,486991,-1,      149.93639,        2.03720,        0.34100,       10.69484,-1,       -1.00000
18908,-1,477589,-1,      149.93636,        2.02180,        0.16880,        9.79889,-1,       -1.00000
18909,-1,505486,-1,      149.93484,        2.06815,        0.69520,       10.46566,-1,       -1.00000
18910,-1,504771,-1,      149.93481,        2.06771,        0.88540,       10.84005,-1,       -1.00000
18911,-1,492242,-1,      149.93356,        2.04433,        0.34060,       10.36658,-1,       -1.00000
18912,-1,536215,-1,      149.93335,        2.11460,        0.63270,       10.60069,-1,       -1.00000
18913,-1,442558,-1,      149.93283,        1.96802,        0.47950,        9.35139,-1,       -1.00000
18914,-1,530796,-1,      149.93282,        2.10793,        0.63290,        9.95606,-1,       -1.00000
18915,-1,450144,-1,      149.93248,        1.97806,        0.34230,       10.44260,-1,       -1.00000
18916,-1,542106,-1,      149.93219,        2.12280,        0.63330,       10.51284,-1,       -1.00000
18917,-1,490950,-1,      149.93138,        2.04603,        0.44190,        9.89852,-1,       -1.00000
18918,-1,516742,-1,      149.93060,        2.08396,        0.18520,        8.31618,-1,       -1.00000
18919,-1,454852,-1,      149.92989,        1.99047,        0.37160,        9.94737,-1,       -1.00000
18920,-1,512852,-1,      149.92958,        2.07813,        0.16480,        8.64714,-1,       -1.00000
18921,-1,533277,-1,      149.92949,        2.11063,        0.93880,       11.18987,-1,       -1.00000
18922,-1,442994,-1,      149.92943,        1.96606,        0.63920,       10.92369,-1,       -1.00000
18923,-1,494761,-1,      149.92917,        2.05153,        0.34150,       10.64984,-1,       -1.00000
18924,-1,508753,-1,      149.92833,        2.07214,        0.67620,       10.35628,-1,       -1.00000
18925,-1,510028,-1,      149.92781,        2.07395,        0.30960,        9.62024,-1,       -1.00000
18926,-1,446136,-1,      149.92735,        1.97111,        0.30120,       10.46773,-1,       -1.00000
18927,-1,446334,-1,      149.92674,        1.97225,        0.36350,        9.55494,-1,       -1.00000
18928,-1,475047,-1,      149.92624,        2.02001,        0.77410,        9.94748,-1,       -1.00000
18929,-1,507079,-1,      149.92511,        2.07095,        0.67550,        9.94520,-1,       -1.00000
18930,-1,482119,-1,      149.92476,        2.03167,        0.87210,        9.87608,-1,       -1.00000
18931,-1,509608,-1,      149.92387,        2.07421,        0.30940,       11.04780,-1,       -1.00000
18932,-1,487411,-1,      149.92368,        2.04030,        0.94640,        9.90546,-1,       -1.00000
18933,-1,516129,-1,      149.92328,        2.08397,        0.66740,        9.83629,-1,       -1.00000
18934,-1,511831,-1,      149.92206,        2.07711,        0.35750,        9.31494,-1,       -1.00000
18935,-1,493309,-1,      149.92148,        2.04728,        0.66660,       11.17754,-1,       -1.00000
18936,-1,543058,-1,      149.92142,        2.12412,        0.25030,        9.53084,-1,       -1.00000
