GroupID,cenID,cenID2015,RA_avg,Dec_avg,z_avg,HaloMass,GroupTag,Richness
6332,7510,666820,      150.09763,        2.31019,        0.66637,       11.69045,0,2
6333,7512,735710,      150.09821,        2.41493,        0.83750,       11.67672,0,1
6334,7513,750424,      150.09845,        2.43656,        0.66480,       11.51163,0,1
6335,7514,665338,      150.09720,        2.30642,        0.68829,       12.29900,0,4
6336,7518,683792,      150.09864,        2.33502,        0.37276,       12.00568,0,2
6337,7520,763723,      150.10033,        2.45647,        0.30960,       11.99410,0,1
6338,7521,761703,      150.10150,        2.45413,        0.41710,       11.04871,0,1
6339,7522,696660,      150.09695,        2.35110,        0.53178,       12.86042,0,2
6340,7524,750028,      150.10371,        2.43073,        0.72666,       12.09440,0,2
6341,7526,709348,      150.10274,        2.37356,        0.43850,       11.56837,0,1
6342,7527,671428,      150.10365,        2.31460,        0.32580,       11.90444,0,1
6343,7528,660952,      150.10422,        2.30230,        0.17420,       11.13129,0,1
6344,7529,764851,      150.10442,        2.45925,        0.73110,       11.76317,0,1
6345,7530,735609,      150.10268,        2.42059,        0.22055,       12.44158,0,3
6346,7533,752946,      150.10553,        2.43900,        0.75080,       12.27484,0,1
6347,7534,657977,      150.10452,        2.29982,        0.95038,       12.51472,0,2
6348,7536,723011,      150.10568,        2.39912,        0.21960,       12.33309,0,1
6349,7537,726236,      150.10535,        2.39843,        0.24928,       11.92085,0,2
6350,7539,754918,      150.10594,        2.44342,        0.22250,       11.28598,0,1
6351,7540,762836,      150.10681,        2.45562,        0.47730,       11.20767,0,1
6352,7541,702238,      150.10693,        2.36246,        0.42800,       11.57358,0,1
6353,7542,680249,      150.10744,        2.32922,        0.92370,       12.26221,0,1
6354,7543,663525,      150.10753,        2.30270,        0.21970,       11.86769,0,1
6355,7544,729007,      150.10797,        2.40164,        0.66640,       11.88474,0,1
6356,7545,759981,      150.10803,        2.44923,        0.21690,       11.61949,0,1
6357,7546,703419,      150.10835,        2.36480,        0.86480,       11.70356,0,1
6358,7547,672485,      150.10953,        2.31925,        0.47560,       11.29557,0,1
6359,7548,719582,      150.11128,        2.38927,        0.32150,       11.34342,0,1
6360,7549,746482,      150.11154,        2.42964,        0.40880,       11.25321,0,1
6361,7550,733126,      150.11154,        2.40958,        0.34930,       11.33710,0,1
6362,7551,654361,      150.11212,        2.29300,        0.68730,       11.39788,0,1
6363,7552,719406,      150.11229,        2.38743,        0.75610,       11.89961,0,1
6364,7553,762974,      150.11270,        2.45759,        0.31910,       11.55903,0,1
6365,7554,712810,      150.11319,        2.37811,        0.52920,       12.18656,0,1
6366,7555,682049,      150.11476,        2.33278,        0.37380,       12.58972,0,1
6367,7556,704689,      150.08598,        2.36419,        0.33931,       12.71354,0,3
6368,7559,732770,      150.11662,        2.41044,        0.24640,       11.04693,0,1
6369,7560,760763,      150.11687,        2.45185,        0.74750,       11.64892,0,1
6370,7561,717935,      150.11693,        2.38693,        0.93940,       11.81665,0,1
6371,7562,678094,      150.11732,        2.32713,        0.89960,       11.98015,0,1
6372,7563,716296,      150.11743,        2.38392,        0.33680,       11.51680,0,1
6373,7564,671917,      150.11772,        2.31820,        0.23580,       11.14714,0,1
6374,7565,661183,      150.11815,        2.30202,        0.75730,       12.36149,0,1
6375,7566,736765,      150.11855,        2.41558,        0.83680,       11.60729,0,1
6376,7567,780517,      150.09760,        2.47729,        0.24962,       12.75214,0,7
6377,7574,675914,      150.11933,        2.32318,        0.60425,       13.02223,0,3
6378,7577,670434,      150.11952,        2.31584,        0.10580,       11.19770,0,1
6379,7578,677876,      150.12050,        2.32768,        0.88470,       12.17309,0,1
6380,7579,749128,      150.12100,        2.43274,        0.53710,       11.62247,0,1
6381,7580,724610,      150.12048,        2.39305,        0.89148,       12.97129,0,2
6382,7582,671929,      150.12178,        2.31608,        0.35820,       11.86045,0,1
6383,7583,693164,      150.12195,        2.34904,        0.22280,       11.67347,0,1
6384,7584,657164,      150.12142,        2.29843,        0.28269,       12.30214,0,3
6385,7587,746281,      150.12225,        2.42987,        0.70170,       11.54738,0,1
6386,7588,755144,      150.12293,        2.44350,        0.34780,       11.45379,0,1
